Sample No,Printer Type,Material,Layer Thickness (mm),Infill Density (%),Infill Pattern,Speed ​​(mm/s),Roughness AVG,Hardness AVG,Peak Load (N),Peak Stress (kPa),Strain at Break (mm/mm),Modulus (MPa),Width (mm),Thickness (mm)
246,closed ,PP,0.1,20,zig zag,30,6.173000000000001,18.7,120.4953333333333,5893.266666666666,,495.2866666666667,5.963333333333334,3.43
247,closed ,PP,0.1,50,triangles,50,4.723,25.0,139.8523333333333,6784.900000000001,,577.9403333333333,6.033333333333334,3.413333333333334
248,closed ,PP,0.1,80,grid,70,4.2860000000000005,36.9,140.794,6825.0,,560.4603333333333,6.026666666666666,3.423333333333333
249,closed ,PP,0.2,20,triangles,70,4.084666666666667,33.6,127.9966666666667,6145.099999999999,,512.1766666666666,5.993333333333333,3.476666666666667
250,closed ,PP,0.2,50,grid,30,5.367333333333334,36.2,134.009,6621.033333333333,,548.3686666666666,5.953333333333333,3.4
251,closed ,PP,0.2,80,zig zag,50,5.037,43.7,141.3,6906.433333333333,,570.1663333333332,5.936666666666667,3.446666666666667
252,closed ,PP,0.3,20,grid,50,4.4013333333333335,32.1,141.5216666666667,6778.133333333334,,596.2883333333333,5.926666666666667,3.523333333333333
253,closed ,PP,0.3,50,zig zag,70,8.105333333333332,35.4,146.8,6945.0,,546.4803333333333,5.973333333333334,3.54
254,closed ,PP,0.3,80,triangles,30,9.605333333333334,36.9,156.0966666666667,7425.400000000001,,579.5936666666666,6.0,3.503333333333333
