Sample No,Printer Type,Material,Layer Thickness (mm),Infill Density (%),Infill Pattern,Speed ​​(mm/s),Roughness AVG,Hardness AVG,Peak Load (N),Peak Stress (kPa),Strain at Break (mm/mm),Modulus (MPa),Width (mm),Thickness (mm)
361,closed ,PLA+,0.1,50,tri hexagon,70,3.122666666666667,76.8,629.4326666666667,28756.06666666667,0.01566666666666667,2168.158,6.47,3.383333333333333
362,closed ,PLA+,0.1,50,octet,70,3.2136666666666667,75.4,674.1303333333334,30759.6,0.01666666666666667,2197.388,6.510000000000001,3.366666666666667
363,closed ,PLA+,0.1,50,concentric,70,2.016,64.6,743.2983333333333,32992.63333333333,0.016,2449.27,6.100000000000001,3.693333333333333
364,closed ,PLA+,0.1,50,cross3d,70,2.8523333333333327,72.2,553.955,25844.93333333333,0.016,1876.454,6.243333333333333,3.433333333333334
365,closed ,PLA+,0.1,80,lines,30,2.1970000000000005,78.7,738.6790000000001,33278.73333333334,0.014,2594.503,6.403333333333333,3.466666666666667
366,closed ,PLA+,0.1,80,cubic,30,1.9269999999999998,75.9,785.6453333333334,36323.5,0.01333333333333333,2921.117333333333,6.386666666666667,3.386666666666667
367,closed ,PLA+,0.1,80,octet,30,2.1140000000000003,79.2,738.9513333333333,32380.96666666666,0.01366666666666667,2575.792333333333,6.286666666666666,3.63
368,closed ,PLA+,0.1,80,concentric,30,2.1783333333333332,76.5,904.0623333333333,41103.06666666667,0.01366666666666667,3504.447,6.503333333333333,3.383333333333333
369,closed ,PLA+,0.1,80,gyroid,30,2.3966666666666665,78.2,790.9376666666667,36369.96666666667,0.013,3358.683666666666,6.473333333333334,3.36
370,closed ,PLA+,0.1,80,lines,50,3.255333333333333,78.6,795.7556666666666,36795.96666666667,0.014,3267.568666666667,6.43,3.363333333333333
371,closed ,PLA+,0.1,80,cubic,50,2.5143333333333335,80.2,806.5,37090.16666666666,0.013,3383.978000000001,6.446666666666666,3.373333333333334
372,closed ,PLA+,0.1,80,octet,50,2.725666666666667,76.3,768.2123333333334,35766.33333333334,0.01366666666666667,3285.848333333333,6.323333333333333,3.396666666666667
373,closed ,PLA+,0.1,80,cross,50,3.5869999999999997,76.2,561.6046666666666,26146.23333333333,0.014,2390.597333333333,6.386666666666667,3.363333333333333
374,closed ,PLA+,0.1,80,gyroid,50,3.421666666666667,73.8,822.6533333333333,37929.93333333333,0.01433333333333333,3268.484,6.373333333333334,3.403333333333334
375,closed ,PLA+,0.1,80,lines,70,3.4683333333333337,75.0,797.7826666666666,36573.26666666667,0.01433333333333333,3178.084,6.46,3.376666666666666
376,closed ,PLA+,0.1,80,cubic,70,3.4646666666666666,75.8,837.9003333333334,38045.63333333333,0.01466666666666667,3274.046,6.403333333333333,3.44
377,closed ,PLA+,0.1,80,quarter cubic,70,3.3673333333333333,78.0,791.4906666666667,35365.53333333333,0.015,3015.562666666667,6.359999999999999,3.52
378,closed ,PLA+,0.1,80,cross,70,3.2336666666666667,70.7,578.7109999999999,27026.93333333333,0.01433333333333333,2364.974666666667,6.28,3.41
379,closed ,PLA+,0.1,80,gyroid,70,3.7356666666666665,73.9,815.1023333333333,37042.36666666667,0.01466666666666667,3220.346,6.460000000000001,3.406666666666667
380,closed ,PLA+,0.2,20,lines,30,3.110666666666667,75.4,574.625,26561.9,0.012,2508.274666666667,6.413333333333334,3.373333333333334
381,closed ,PLA+,0.2,20,cubic subdivision,30,3.170666666666667,76.0,636.3193333333334,29726.73333333333,0.014,2555.692,6.246666666666667,3.426666666666667
382,closed ,PLA+,0.2,20,quarter cubic,30,3.5210000000000004,74.2,556.457,25194.73333333333,0.012,2412.282666666667,6.510000000000001,3.393333333333333
383,closed ,PLA+,0.2,20,cross,30,2.683666666666667,76.9,688.3043333333334,31975.26666666667,0.013,2862.374333333333,6.313333333333333,3.41
384,closed ,PLA+,0.2,20,gyroid,30,3.4569999999999994,78.5,720.9146666666667,32161.2,0.014,2717.366666666667,6.579999999999999,3.406666666666666
385,closed ,PLA+,0.2,20,tri hexagon,50,4.625000000000001,73.4,642.8193333333334,29024.36666666667,0.01433333333333333,2462.204,6.513333333333333,3.4
386,closed ,PLA+,0.2,20,cubic subdivision,50,4.595666666666666,74.7,665.2556666666666,32490.2,0.015,2644.303,6.173333333333333,3.316666666666666
387,closed ,PLA+,0.2,20,quarter cubic,50,4.388000000000001,68.8,598.0623333333333,29215.46666666666,0.013,2647.718666666667,6.146666666666667,3.33
388,closed ,PLA+,0.2,20,cross,50,3.9776666666666665,72.0,643.0203333333334,31529.06666666667,0.01433333333333333,2700.899333333333,6.046666666666667,3.373333333333333
389,closed ,PLA+,0.2,20,lightning,50,4.157,69.4,568.1323333333333,27644.7,0.01266666666666667,2569.795333333333,6.116666666666667,3.36
390,closed ,PLA+,0.2,20,tri hexagon,70,6.23,71.8,657.1060000000001,31942.6,0.015,2679.009333333333,6.153333333333333,3.343333333333333
391,closed ,PLA+,0.2,20,cubic subdivision,70,6.22,69.8,675.1893333333334,32764.2,0.015,2670.388333333333,6.170000000000001,3.34
392,closed ,PLA+,0.2,20,concentric,70,5.027333333333334,70.8,701.4903333333333,33664.96666666667,0.015,2740.191,6.22,3.35
393,closed ,PLA+,0.2,20,cross3d,70,5.433666666666667,75.9,659.2893333333333,33112.53333333333,0.01466666666666667,2836.271666666667,6.166666666666667,3.23
394,closed ,PLA+,0.2,20,lightning,70,6.731333333333333,74.3,578.202,29651.66666666667,0.01333333333333333,2669.023,6.12,3.186666666666667
