Sample No,Printer Type,Material,Layer Thickness (mm),Infill Density (%),Infill Pattern,Speed ​​(mm/s),Roughness AVG,Hardness AVG,Peak Load (N),Peak Stress (kPa),Strain at Break (mm/mm),Modulus (MPa),Width (mm),Thickness (mm)
468,closed ,rPET,0.3,50,Grid,30,0.0,51.4,304.8466666666666,16409.16666666667,0.01666666666666667,1208.441666666667,5.776666666666666,3.22
469,closed ,rPET,0.3,50,Triangles,50,0.0,58.3,302.462,15385.33333333333,0.01733333333333333,1128.446,5.786666666666666,3.426666666666666
470,closed ,rPET,0.3,50,Zigzag,70,0.0,61.5,394.9759999999999,19046.76666666667,0.018,1329.764333333333,5.853333333333333,3.586666666666666
471,closed ,rPET,0.3,80,Grid,50,0.0,67.5,420.2816666666667,19955.7,0.016,1538.286,5.886666666666667,3.62
472,closed ,rPET,0.3,80,Triangles,70,0.0,56.6,469.893,23693.83333333333,0.017,1749.006333333333,5.863333333333333,3.393333333333333
473,closed ,rPET,0.3,80,Zigzag,30,0.0,55.8,327.9783333333334,16506.66666666667,0.014,1378.269,5.963333333333334,3.333333333333333
474,closed ,rPET,0.2,20,Zigzag,30,0.0,48.9,318.6906666666667,15828.2,0.01666666666666667,1165.788,5.82,3.486666666666667
475,closed ,rPET,0.2,50,Grid,70,0.0,44.0,307.177,14641.7,0.01933333333333333,1005.071333333333,5.863333333333333,3.606666666666667
476,closed ,rPET,0.2,50,Triangles,30,0.0,40.8,338.7953333333333,16931.83333333333,0.017,1235.883,5.976666666666667,3.353333333333333
